period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,sample_rh,sample_temp,sample_pres,pm1,pm25,pm10
2024-03-14T00:00:00+02:00,2024-03-15T00:00:00+02:00,2024-03-13T22:00:00+00:00,2024-03-14T22:00:00+00:00,MOD-PM-00523,1430,40.066,26.722,0.0,22.715,23.737,39.002
2024-03-15T00:00:00+02:00,2024-03-16T00:00:00+02:00,2024-03-14T22:00:00+00:00,2024-03-15T22:00:00+00:00,MOD-PM-00523,1423,63.957,23.842,0.0,12.522,12.885,18.619
2024-03-16T00:00:00+02:00,2024-03-17T00:00:00+02:00,2024-03-15T22:00:00+00:00,2024-03-16T22:00:00+00:00,MOD-PM-00523,1433,53.533,26.355,0.0,18.826,19.377,28.098
2024-03-17T00:00:00+02:00,2024-03-18T00:00:00+02:00,2024-03-16T22:00:00+00:00,2024-03-17T22:00:00+00:00,MOD-PM-00523,1440,44.773,27.575,0.0,29.247,30.351,45.269
2024-03-18T00:00:00+02:00,2024-03-19T00:00:00+02:00,2024-03-17T22:00:00+00:00,2024-03-18T22:00:00+00:00,MOD-PM-00523,1430,64.971,23.599,0.0,15.826,16.646,23.744
2024-03-19T00:00:00+02:00,2024-03-20T00:00:00+02:00,2024-03-18T22:00:00+00:00,2024-03-19T22:00:00+00:00,MOD-PM-00523,1432,55.825,25.226,0.0,10.468,10.999,18.696
2024-03-20T00:00:00+02:00,2024-03-21T00:00:00+02:00,2024-03-19T22:00:00+00:00,2024-03-20T22:00:00+00:00,MOD-PM-00523,1422,52.116,26.105,0.0,33.306,34.404,48.57
2024-03-21T00:00:00+02:00,2024-03-22T00:00:00+02:00,2024-03-20T22:00:00+00:00,2024-03-21T22:00:00+00:00,MOD-PM-00523,1434,65.92,23.343,0.0,22.28,22.903,28.263
2024-03-22T00:00:00+02:00,2024-03-23T00:00:00+02:00,2024-03-21T22:00:00+00:00,2024-03-22T22:00:00+00:00,MOD-PM-00523,1427,65.934,22.023,0.0,19.411,19.639,22.524
2024-03-23T00:00:00+02:00,2024-03-24T00:00:00+02:00,2024-03-22T22:00:00+00:00,2024-03-23T22:00:00+00:00,MOD-PM-00523,1434,65.059,21.565,0.0,19.792,20.367,25.715
2024-03-24T00:00:00+02:00,2024-03-25T00:00:00+02:00,2024-03-23T22:00:00+00:00,2024-03-24T22:00:00+00:00,MOD-PM-00523,1434,55.298,22.645,0.0,7.002,7.522,11.917
2024-03-25T00:00:00+02:00,2024-03-26T00:00:00+02:00,2024-03-24T22:00:00+00:00,2024-03-25T22:00:00+00:00,MOD-PM-00523,1440,63.954,21.208,0.0,7.879,8.157,12.26
2024-03-26T00:00:00+02:00,2024-03-27T00:00:00+02:00,2024-03-25T22:00:00+00:00,2024-03-26T22:00:00+00:00,MOD-PM-00523,1440,62.534,21.828,0.0,10.645,11.069,15.482
